transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,0,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of KDI Independent School District to order. Today is Monday, December 9, and the time is 4.03 p.m.
Dr. Gorsi, will you verify that we are in compliance with the provisions of the Texas Open Meetings
Act with regard to notice for this meeting? Mr. President, I do confirm we are in compliance with
the provisions Texas Open Meeting Act for a meeting tonight. Thank you. The Board will not convene
in closing.

[00:30–01:00]
Now convene and closed meeting as authorized under section 551.001 of the Texas Government Code for
the following purposes. Texas government code 551.071, 551.072, 551.076, and 551.129. Good
afternoon. The board will now reconvene and open meeting. Today is Monday, December 9, 2024, and the
time is 513 p.m.

[01:00–01:30]
On behalf of my colleagues, I welcome everyone to this evening's regular board meeting. Each board
member received the agenda and documentation for this meeting on Friday, December 6, 2024. The board
will receive information and recommendations from staff, administration, and superintendent on these
agenda items at tonight's meeting. Board members will be able to ask questions, receive answers, and
should be prepared to take action. The board has just reconvened from closed meeting. In accordance
with Chapter 551 of the Text Government Code, any action arising from discussions in a closed
meeting must be taken.

[01:30–02:00]
All right. We're gonna start off with some uh Pledge of Allegiance and a national anthem. And we
have a lot of special guests here. I see them out there. Great to see our students coming out. But
uh first up on our Pledge of Allegiance we have Wyatt Poy, a fifth grader from Cimarron Elementary.
I see his principal out there is Lindsay Chase. Parents Justin and Tiffany Poy. He's got a sibling
over at West Memorial Junior High, student special interest playing guitar, soccer, and reading
Harry Potter books.",0,0.013802288620334016,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,1,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:02:00,0:04:00,"[02:00–02:30]
Favorite subjects, reading and math. A couple of quotes from his teachers from Miss Kratz, fifth
grade math and science teacher. White is an incredibly dedicated student who always strives to do
his best in every task. He is the house leader for Amistad as voted on by his peers. His commitment
to learning is matched by his kindness, as he is a great friend to everyone in class. He treats his
teachers and all staff members with utmost respect, making him a wonderful role model for his peers.
For Miss Haggerty, fifth grade literacy and social studies, White is an

[02:30–03:00]
exemplary fifth grade student known for his dedication and strong leadership qualities. Consistently
sets a positive example for his classmates through his hard work and commitment to excellent.
White's enthusiasm for learning and his ability to motivate others makes him a standout in the
classroom. But before we have our pledge leader, so just stay tuned for a minute.

[03:00–03:30]
Matthew Solas, Principal Tommy Daniels. We've got a bunch of students out there Abigail Quintania,
Diana Granadino, Esther Azubuki, Hunter Hart, Jacob Mendoza, Jada Petty, Jayla Garcia, Keat Keegan
Tolson, Mason Hart, Merrick Martin, Nala Rogers, Navea, Andrews, Rosie Trejo, Sarah Sacker, Seth
Hanyungbang, Sophia Tapia, Tori Richard, Vince Kraes,

[03:30–04:00]
Wilson Sofila. And a quote from our music directors, students of Bethgee Bison Choir truly embody
what it means to be a Bethge Bison. They're strong, resourceful, and work hard to be successful in
whatever they do. This fall we have seen them come together, creating bonds of friendship, sharing
laughs and hardships, and growing their love of music as a herd. In the spring, they will become
leaders to our fourth grade students who will join choir helping to guide them through the new
experience of singing and performing as a group and in parts. We are so proud of these students and
all they have accomplished. Go Bison's Go C B E.",0,0.10908287725326579,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,2,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:04:00,0:06:00,"[04:30–05:00]
O C B E. So let's start with a pledge, and then we will do our national anthem. I pledge allegiance
to the flag of the United States of America and to the Republic for which it stands on a nation,
under God, indivisible, with liberty and justice for all. Honor the Texas flag. I pledge allegiance
to the Texas one state under God, one and indivisible. Let's go ahead and bring up our national
anthem.

[05:00–05:30]
And then we'll do your remarks right after the national anthem.

[05:30–06:00]
Oh, say",0,0.024108908689571596,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,3,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:06:00,0:08:00,"[06:00–06:30]
Can you speak on the hunter life? Was a weather and that's my life last week whose fresh eyes and
bright stars do the spies was a hand.

[07:30–08:00]
Good evening, President Perez, Board Members, and Superintendent Gergorski. My name is White Poyne.
I'm honored to be here tonight. I enjoy going to school at Cimarron and love my teachers and friends
there too. Some of my favorite things about school are being on the House Council as House
Representative and being a member of the fifth grade choir. I like to play soccer and this year my
team won first place in our league.",0,0.021267780090482406,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,4,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:08:00,0:10:00,"[08:30–09:00]
I'm also learning how to play the acoustic guitar, but I'm hoping to get an electric one for
Christmas or my birthday.",0,0.08528716055399332,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,5,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:10:00,0:12:00,"[11:30–12:00]
Next up on our agenda, we've got a couple of recognitions we want to take care of, and those are
going to start with some uh new principals. Which the first one I want to go ahead and recognize out
there is Felicia Ashenbrenner. Where's Felicia at? Felicia is actually not a new principal, she is
the principal of May Creek Elementary, but she's going to be doing a new position for us, and she
has volunteered to come open uh elementary number 47. So thank you for doing that, Felicia. We
appreciate it.",0,0.03774854115474793,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,6,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:12:00,0:14:00,"[12:00–12:30]
I don't know if you brought anyone out with you tonight. Felicia, do you have anyone with you you
would like to introduce? And my daughter and the other. All right, awesome. Thank you. And for a
very new principal is Tamika Holdman, who is gonna open up number 48. Where's Tamika? Yes, thank
you. And Tamika, who did you bring with you today? Um I brought my biblical gear, my sister, my
head.

[13:00–13:30]
So your whole family, everybody, everyone you can find. Awesome. Well, thank you. We're looking
forward to it. And the last principal we want to recognize today is also going to be a new principal
for us. He has already started in the position. Uh and for those of you might be watching from home,
uh at Beckendorf Junior High, Paul Masavi is retiring at Christmas, and Mr. Grant Smith is taking
over for Paul. So where there's Grant. Thank you for doing that, Grant. And who did you bring with
you?

[13:30–14:00]
What did you bring with you? I brought my wife Raiden and my daughter Faith and Matt Hannah to
y'all. Awesome. Well, thank you, Grant. Appreciate that. All right. And then we're going to do
another recognition of some police officers, and I'm going to invite up uh Craig Icorn. He's our
director of communications. And but before he gets to reading what he's got over there, I just want
to say that uh um Craig's been doing 33 years in public education, and he is retiring in a few days.
So",0,0.008448071864524875,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,7,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:14:00,0:16:00,"[14:00–14:30]
thank you, Craig. Appreciate your service to public education and everything you've done for KDISD
and your time with us. So, but I understand you're going to Oklahoma something about grandkids.
That's right, sir. I'll be living down the street from four grandbabies. In fact, just uh four
houses down. So, and the best part is they bought the house. Awesome. All right. Well, it's all
yours, Craig, for your last board meeting with KDISD. Thank you, sir. Dr. Grigorsky, Mr. Perez, Ms.
Teamy, Ms. Calhoun, Ms. Champagne, Ms. Fox, Mr.

[14:30–15:00]
Rubin, Ms. Cul uh Cosetta. I just want to thank you all, Dr. Grooms, Kaske, Hack, all these guys
right here, all my fantasy football buddies, Ruben Martinez. Thank you for letting me end my 33 year
career at the best school district in Texas. There's no doubt in my mind that after coming here, uh
it's it's uh 18 months, but it's eighteen months of good work. I think we did a lot of good things
for the kids and the community of KDISD. And uh those of us who are in A Leaf ISD know we're in the
best district right here, right?

[15:00–15:30]
Natalie, join me. I just want to thank each and every one of you. I look around this room. I think
I've made a connection with each and every one of you individually. And I hope we can keep that up.
And Sydney's over there crying. And I want to don't make me cry. I want to thank you all for what
you've accepting me from day one. Dr. Grooms accepted me from day one. And uh as you know, this has
been a very tough fall, and Dr. Grooms is very gracious when my mom got severely ill and then passed
and let me take as much time as possible. So, Dr. Grooms, you will always be in my heart for that.
Thank you so much for that. And thanks uh you all for KDI SD.

[15:30–16:00]
All for KDISD making it great. Continue to do the good work and I hope we stay in touch. Thank you
all. All right, Chief. I gotta try to talk now, really. As you know, KDISD police officers serve
over 100 campuses and facilities across our district. They are dedicated to protecting lives and
property with the utmost professionalism and ethical standards. So here to present a special
recognition and honor of four officers as KDISD chief",0,0.03367624070978954,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,8,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:16:00,0:18:00,"[16:00–16:30]
Is KDISD Chief of Police, Henry Gaw? Good evening, President Perez, Board of Trustees,
Superintendent Grigorsky. Tonight we recognize the swift life-saving actions of Officer Jason Ryan,
Lieutenant Glenn Cloud, Sergeant Jeffrey Martinez, and Officer Matt Graham. These officers helped us
save the life of Mr. Renee Leva at a recent band competition held at

[17:00–17:30]
Legacy Stadium on November 9th. Mr. Levez is a Klein Collins high school parent volunteer who
suffered a heart attack while moving equipment. That evening was a very busy one for medical teams
on site. So much so that the EMS team assisting Mr. Leva was in need of additional assistance.
Lieutenant Cloud received this information and while en route to the location, contacted KDISD
dispatch to arrange for medics. Officer Ryan, Sergeant Martinez, and Officer Graham quickly arrived.

[17:30–18:00]
to assist. When officers arrived at the scene, CPR was being performed on Mr. Leva. Fortunately,
Officer Ryan also had access to a nearby AED that he actually had on his uh, I'll call it a golf
cart. Jason Hedrick, another KleinCollins parent volunteer who was also a paramedic, assisted
Officer Ryan in applying the AED pads. Sergeant Martinez aided in crowd control and clearing the
area. Lieutenant Cloud coordinated the assistance and provided information to Mr. Leva's wife,
Laura. Thanks to Officer Graham's guidance to",0,0.05059010107779435,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,9,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:18:00,0:20:00,"[18:00–18:30]
Graham's guidance, the Katie Fire Department and ambulance arrived promptly, allowing Mr. Leva to
receive the additional medical care that he needed. Lieutenant Cloud summed it up perfectly with
this summary of the incident. I went back to Legacy Stadium that uh area that evening and talked
with all the officers involved and thanked them for going above and beyond. And I guess we kind of
consoled one another not knowing the outcome of uh Renee Leva. I'm gonna outlive this part a little
bit because it was just coincidental that I got the email from uh Jason that kind of

[18:30–19:00]
kind of started all this in the recognition and realizing the outcome. For the days that passed, we
all wanted some sort of closure to know what happened to Mr. Leva. We found out that he survived the
cardiac arrest and had bypass surgery, which was a relief to all involved. I want to recognize all
who were involved from Jason, from Officer Jason Ryan, Sergeant Jeff Martinez, and Officer Matt
Graham, and to the firefighters, the EMTs, the parent volunteers, stadium staff, and the many others
who assisted in one way or another. In short, I'm truly

[19:00–19:30]
In short, I am truly honored to be supervising and working alongside these officers, and
communication is key. At times when we all anticipate each other's move and acted accordingly to
make sure all has worked as seamless as possible for the safety of all involved, especially for Mr.
Leva. The KDISD police officers who assisted in deploying the AED and helped get Ms. Mrs. Leva to
the hospital to be of her husband are being recognized this evening with the KDISD Meritorious
Service Award for their actions. Because of their efforts, Mr. Leva is with us today and will see
his daughter graduate in the world.

[19:30–20:00]
Graduate in May. So at this time, okay. And also in the crowd, also, I I saw uh I understood Tammy
is here too. She was one of the medics who assisted. So at this time, I would like to introduce
Officer Jason Ryan, Lieutenant Glenn Cloud, and Sergeant Martinez. And is Officer Matt Graham out
there? And Officer Matt Graham, you know, he's been caught in modest, that's why he's not in the
picture.",0,0.045823457475141154,0
